Season,Player,Tm,G,MP,PTS,Total_PTS,PTS_per_48
2022,Precious Achiuwa,TOR,6,27.8,10.2,61.199999999999996,17.611510791366904
2022,Steven Adams,MEM,7,16.3,3.4,23.8,10.012269938650306
2022,Bam Adebayo,MIA,18,34.1,14.8,266.40000000000003,20.832844574780058
2022,Nickeil Alexander-Walker,UTA,1,5.0,5.0,5.0,48.0
2022,Grayson Allen,MIL,12,25.4,8.3,99.60000000000001,15.685039370078742
2022,Jose Alvarado,NOP,6,19.5,8.0,48.0,19.692307692307693
2022,Kyle Anderson,MEM,12,18.4,6.0,72.0,15.652173913043478
2022,Giannis Antetokounmpo,MIL,12,37.3,31.7,380.4,40.793565683646115
2022,Thanasis Antetokounmpo,MIL,8,2.5,0.6,4.8,11.52
2022,OG Anunoby,TOR,6,36.2,17.3,103.80000000000001,22.939226519337016
2022,Deandre Ayton,PHO,13,30.5,17.9,232.7,28.170491803278686
2022,Desmond Bane,MEM,12,35.7,18.8,225.60000000000002,25.277310924369747
2022,Dalano Banton,TOR,4,2.0,1.8,7.2,43.2
2022,Scottie Barnes,TOR,4,33.3,12.8,51.2,18.450450450450454
2022,Will Barton,DEN,5,34.4,13.8,69.0,19.255813953488374
2022,Charles Bassey,PHI,3,4.0,0.7,2.0999999999999996,8.399999999999999
2022,Malik Beasley,MIN,6,19.8,8.5,51.0,20.606060606060606
2022,Dāvis Bertāns,DAL,18,10.7,4.1,73.8,18.39252336448598
2022,Patrick Beverley,MIN,6,32.3,11.0,66.0,16.346749226006192
2022,Khem Birch,TOR,6,10.5,3.0,18.0,13.714285714285714
2022,Bismack Biyombo,PHO,9,9.6,2.8,25.2,14.0
2022,Nemanja Bjelica,GSW,15,10.0,2.9,43.5,13.92
2022,Bogdan Bogdanović,ATL,4,26.8,14.3,57.2,25.611940298507466
2022,Bojan Bogdanović,UTA,6,35.7,18.0,108.0,24.201680672268907
2022,Isaac Bonga,TOR,1,3.0,2.0,2.0,32.0
2022,Devin Booker,PHO,10,36.6,23.3,233.0,30.557377049180328
2022,Chris Boucher,TOR,6,21.7,11.2,67.19999999999999,24.774193548387096
2022,Tony Bradley,CHI,2,4.0,5.0,10.0,60.0
2022,Mikal Bridges,PHO,13,38.5,13.3,172.9,16.581818181818182
2022,Armoni Brooks,TOR,4,2.0,0.0,0.0,0.0
2022,Dillon Brooks,MEM,11,30.5,14.6,160.6,22.977049180327867
2022,Bruce Brown,BRK,4,34.8,14.0,56.0,19.310344827586206
2022,Jaylen Brown,BOS,24,38.3,23.1,554.4000000000001,28.95039164490862
2022,Sterling Brown,DAL,9,2.9,1.2,10.799999999999999,19.862068965517242
2022,Troy Brown Jr.,CHI,3,12.3,4.0,12.0,15.609756097560975
2022,Jalen Brunson,DAL,18,34.9,21.6,388.8,29.70773638968482
2022,Reggie Bullock,DAL,18,39.3,10.6,190.79999999999998,12.946564885496183
2022,Trey Burke,DAL,10,3.7,3.2,32.0,41.513513513513516
2022,Jared Butler,UTA,1,5.0,0.0,0.0,0.0
2022,Jimmy Butler,MIA,17,37.0,27.4,465.79999999999995,35.545945945945945
2022,Facundo Campazzo,DEN,4,3.3,0.0,0.0,0.0
2022,Vlatko Čančar,DEN,2,4.5,2.5,5.0,26.666666666666664
2022,Clint Capela,ATL,2,20.0,2.0,4.0,4.8
2022,Jevon Carter,MIL,11,11.5,2.1,23.1,8.765217391304349
2022,Alex Caruso,CHI,4,28.3,6.3,25.2,10.685512367491166
2022,Marquese Chriss,DAL,8,3.8,1.8,14.4,22.736842105263158
2022,Brandon Clarke,MEM,12,24.7,12.3,147.60000000000002,23.90283400809717
2022,Jordan Clarkson,UTA,6,28.3,17.5,105.0,29.681978798586574
2022,Nic Claxton,BRK,4,24.5,10.5,42.0,20.57142857142857
2022,John Collins,ATL,5,24.4,9.4,47.0,18.491803278688526
2022,Mike Conley,UTA,6,29.0,9.2,55.199999999999996,15.22758620689655
2022,Pat Connaughton,MIL,12,26.5,9.5,114.0,17.20754716981132
2022,DeMarcus Cousins,DEN,5,11.4,10.6,53.0,44.63157894736842
2022,Torrey Craig,PHO,9,7.7,2.2,19.8,13.714285714285715
2022,Jae Crowder,PHO,13,29.5,9.4,122.2,15.29491525423729
2022,Jarrett Culver,MEM,3,7.3,2.3,6.8999999999999995,15.123287671232877
2022,Seth Curry,BRK,4,33.0,14.5,58.0,21.09090909090909
2022,Stephen Curry,GSW,22,34.7,27.4,602.8,37.90201729106628
2022,Dewayne Dedmon,MIA,14,9.9,3.8,53.199999999999996,18.424242424242426
2022,DeMar DeRozan,CHI,5,40.6,20.8,104.0,24.591133004926107
2022,Gorgui Dieng,ATL,2,5.0,1.5,3.0,14.399999999999999
2022,Spencer Dinwiddie,DAL,18,27.8,14.2,255.6,24.517985611510788
2022,Luka Dončić,DAL,15,36.8,31.7,475.5,41.34782608695652
2022,Ayo Dosunmu,CHI,5,17.2,4.0,20.0,11.162790697674419
2022,Goran Dragić,BRK,4,19.8,10.5,42.0,25.454545454545457
2022,Andre Drummond,BRK,4,15.0,3.8,15.2,12.16
2022,Kevin Durant,BRK,4,44.0,26.3,105.2,28.690909090909088
2022,Anthony Edwards,MIN,6,37.8,25.2,151.2,32.0
2022,Kessler Edwards,BRK,2,3.5,0.0,0.0,0.0
2022,Joel Embiid,PHI,10,38.5,23.6,236.0,29.423376623376626
2022,Dorian Finney-Smith,DAL,18,38.2,11.7,210.6,14.70157068062827
2022,Malik Fitts,BOS,9,1.8,0.9,8.1,24.0
2022,Malachi Flynn,TOR,6,6.0,0.0,0.0,0.0
2022,Bryn Forbes,DEN,5,15.2,4.0,20.0,12.631578947368421
2022,Danilo Gallinari,ATL,5,22.4,10.2,51.0,21.857142857142854
2022,Rudy Gobert,UTA,6,32.8,12.0,72.0,17.5609756097561
2022,Aaron Gordon,DEN,5,32.0,13.8,69.0,20.700000000000003
2022,Devonte' Graham,NOP,6,10.0,4.0,24.0,19.2
2022,Danny Green,PHI,12,26.6,8.6,103.19999999999999,15.518796992481201
2022,Draymond Green,GSW,22,32.0,8.0,176.0,12.0
2022,JaMychal Green,DEN,5,13.8,4.0,20.0,13.91304347826087
2022,Javonte Green,CHI,5,14.4,1.4,7.0,4.666666666666666
2022,Jeff Green,DEN,5,22.6,3.8,19.0,8.07079646017699
2022,Josh Green,DAL,16,7.6,1.4,22.4,8.842105263157894
2022,Blake Griffin,BRK,2,12.5,4.0,8.0,15.36
2022,James Harden,PHI,12,39.9,18.6,223.20000000000002,22.37593984962406
2022,Tobias Harris,PHI,12,38.8,16.9,202.79999999999998,20.90721649484536
2022,Sam Hauser,BOS,7,2.1,0.7,4.8999999999999995,16.0
2022,Jaxson Hayes,NOP,6,13.8,5.8,34.8,20.173913043478258
2022,Juancho Hernangómez,UTA,6,9.3,2.3,13.799999999999999,11.870967741935482
2022,Willy Hernangómez,NOP,1,2.0,2.0,2.0,48.0
2022,Tyler Herro,MIA,15,25.4,12.6,189.0,23.811023622047244
2022,Haywood Highsmith,MIA,8,3.9,1.1,8.8,13.53846153846154
2022,George Hill,MIL,5,15.2,1.0,5.0,3.1578947368421053
2022,Aaron Holiday,PHO,6,3.3,3.5,21.0,50.909090909090914
2022,Jrue Holiday,MIL,12,38.6,19.1,229.20000000000002,23.751295336787567
2022,Al Horford,BOS,23,35.4,12.0,276.0,16.27118644067797
2022,Danuel House Jr.,UTA,6,18.7,4.3,25.799999999999997,11.037433155080214
2022,Kevin Huerter,ATL,5,30.8,9.2,46.0,14.337662337662337
2022,De'Andre Hunter,ATL,5,35.0,21.2,106.0,29.074285714285715
2022,Bones Hyland,DEN,5,17.4,9.2,46.0,25.379310344827587
2022,Serge Ibaka,MIL,6,3.7,1.5,9.0,19.45945945945946
2022,Andre Iguodala,GSW,7,8.7,1.6,11.200000000000001,8.827586206896553
2022,Brandon Ingram,NOP,6,39.3,27.0,162.0,32.97709923664122
2022,Kyrie Irving,BRK,4,42.5,21.3,85.2,24.056470588235296
2022,Jaren Jackson Jr.,MEM,12,27.7,15.4,184.8,26.685920577617328
2022,Isaiah Joe,PHI,7,2.1,0.7,4.8999999999999995,16.0
2022,Cameron Johnson,PHO,13,24.6,10.8,140.4,21.073170731707318
2022,Jalen Johnson,ATL,2,4.5,0.0,0.0,0.0
2022,Nikola Jokić,DEN,5,34.2,31.0,155.0,43.50877192982456
2022,Derrick Jones Jr.,CHI,5,11.8,3.8,19.0,15.457627118644066
2022,Herbert Jones,NOP,6,37.7,10.7,64.19999999999999,13.62334217506631
2022,Tyus Jones,MEM,12,21.8,9.2,110.39999999999999,20.256880733944953
2022,DeAndre Jordan,PHI,3,10.3,3.3,9.899999999999999,15.378640776699028
2022,Maxi Kleber,DAL,18,25.4,8.7,156.6,16.440944881889763
2022,Kevin Knox,ATL,2,4.5,11.0,22.0,117.33333333333333
2022,John Konchar,MEM,8,7.0,1.1,8.8,7.542857142857143
2022,Furkan Korkmaz,PHI,9,6.8,3.1,27.900000000000002,21.88235294117647
2022,Luke Kornet,BOS,9,2.1,0.8,7.2,18.28571428571429
2022,Jonathan Kuminga,GSW,16,8.6,5.2,83.2,29.02325581395349
2022,Zach LaVine,CHI,4,38.3,19.3,77.2,24.187989556135772
2022,Damion Lee,GSW,16,7.8,2.0,32.0,12.307692307692308
2022,Kevon Looney,GSW,22,20.4,5.8,127.6,13.647058823529411
2022,Brook Lopez,MIL,12,27.7,10.6,127.19999999999999,18.368231046931406
2022,Kyle Lowry,MIA,10,29.5,7.8,78.0,12.691525423728814
2022,Timothé Luwawu-Cabarrot,ATL,4,5.5,1.3,5.2,11.345454545454546
2022,Boban Marjanović,DAL,3,2.0,1.3,3.9000000000000004,31.200000000000003
2022,Naji Marshall,NOP,6,9.3,3.0,18.0,15.483870967741936
2022,Caleb Martin,MIA,17,12.3,4.5,76.5,17.5609756097561
2022,Wesley Matthews,MIL,12,28.8,6.2,74.4,10.333333333333332
2022,Tyrese Maxey,PHI,12,40.4,20.8,249.60000000000002,24.712871287128714
2022,Skylar Mays,ATL,2,4.5,1.0,2.0,10.666666666666666
2022,CJ McCollum,NOP,6,39.0,22.2,133.2,27.323076923076925
2022,Jaden McDaniels,MIN,6,21.7,9.3,55.800000000000004,20.571428571428577
2022,JaVale McGee,PHO,12,11.1,6.8,81.6,29.405405405405407
2022,Jordan McLaughlin,MIN,5,16.6,6.2,31.0,17.927710843373493
2022,De'Anthony Melton,MEM,10,17.0,5.6,56.0,15.811764705882354
2022,Khris Middleton,MIL,2,36.0,14.5,29.0,19.333333333333332
2022,Patty Mills,BRK,4,18.0,6.3,25.2,16.799999999999997
2022,Paul Millsap,PHI,1,6.0,0.0,0.0,0.0
2022,Shake Milton,PHI,12,13.2,5.0,60.0,18.181818181818183
2022,Donovan Mitchell,UTA,6,38.2,25.5,153.0,32.04188481675393
2022,Greg Monroe,MIN,2,3.5,2.0,4.0,27.428571428571427
