Season,Player,Tm,G,MP,PTS,Total_PTS,PTS_per_48
2021,Shaquille Harrison,DEN,9,4.4,1.0,9.0,10.909090909090908
2021,Tyler Herro,MIA,4,23.3,9.3,37.2,19.158798283261802
2021,George Hill,PHI,12,17.1,4.7,56.400000000000006,13.192982456140351
2021,Solomon Hill,ATL,14,10.4,1.2,16.8,5.538461538461537
2021,Jrue Holiday,MIL,23,39.7,17.3,397.90000000000003,20.916876574307302
2021,Rondae Hollis-Jefferson,POR,5,7.2,2.0,10.0,13.333333333333332
2021,Talen Horton-Tucker,LAL,4,12.0,6.5,26.0,26.0
2021,Dwight Howard*,PHI,12,12.4,4.7,56.400000000000006,18.193548387096772
2021,Markus Howard,DEN,9,12.4,4.7,42.300000000000004,18.193548387096772
2021,Kevin Huerter,ATL,18,31.0,11.1,199.79999999999998,17.18709677419355
2021,De'Andre Hunter,ATL,5,30.4,10.8,54.0,17.05263157894737
2021,Chandler Hutchison,WAS,2,9.0,3.0,6.0,16.0
2021,Serge Ibaka,LAC,2,9.0,5.0,10.0,26.666666666666664
2021,Andre Iguodala,MIA,4,17.8,3.8,15.2,10.247191011235953
2021,Ersan İlyasova,UTA,1,3.0,4.0,4.0,64.0
2021,Joe Ingles,UTA,11,27.8,10.2,112.19999999999999,17.611510791366904
2021,Kyrie Irving,BRK,9,36.1,22.7,204.29999999999998,30.182825484764543
2021,Jaren Jackson Jr.,MEM,5,27.4,13.6,68.0,23.824817518248175
2021,Justin Jackson,MIL,5,3.0,1.2,6.0,19.2
2021,Reggie Jackson,LAC,19,32.7,17.8,338.2,26.128440366972477
2021,LeBron James,LAL,6,37.3,23.3,139.8,29.983914209115287
2021,Mike James,BRK,9,11.4,3.7,33.300000000000004,15.578947368421053
2021,Isaiah Joe,PHI,4,2.3,0.5,2.0,10.434782608695652
2021,Alize Johnson,BRK,5,4.6,1.6,8.0,16.695652173913043
2021,Cameron Johnson,PHO,21,21.1,8.2,172.2,18.654028436018955
2021,Tyler Johnson,BRK,8,8.6,2.1,16.8,11.72093023255814
2021,Nikola Jokić,DEN,10,34.5,29.8,298.0,41.46086956521739
2021,Derrick Jones Jr.,POR,2,5.0,2.0,4.0,19.2
2021,Tyus Jones,MEM,5,9.4,3.0,15.0,15.319148936170212
2021,Frank Kaminsky,PHO,10,6.8,2.2,22.0,15.529411764705884
2021,Luke Kennard,LAC,15,14.6,5.6,84.0,18.410958904109588
2021,Maxi Kleber,DAL,7,26.7,5.3,37.1,9.52808988764045
2021,Nathan Knight,ATL,6,2.3,0.7,4.199999999999999,14.608695652173912
2021,Kevin Knox,NYK,1,4.0,2.0,2.0,24.0
2021,John Konchar,MEM,1,3.0,0.0,0.0,0.0
2021,Furkan Korkmaz,PHI,12,16.3,7.0,84.0,20.613496932515336
2021,Luke Kornet,BOS,2,2.5,1.5,3.0,28.799999999999997
2021,Kyle Kuzma,LAL,6,21.5,6.3,37.8,14.065116279069766
2021,Romeo Langford,BOS,4,27.3,9.0,36.0,15.824175824175825
2021,T.J. Leaf,POR,3,2.3,2.0,6.0,41.73913043478261
2021,Alex Len,WAS,5,8.4,4.0,20.0,22.857142857142858
2021,Kawhi Leonard,LAC,11,39.3,30.4,334.4,37.12977099236641
2021,Damian Lillard,POR,6,41.3,34.3,205.79999999999998,39.86440677966102
2021,Nassir Little,POR,3,3.0,1.7,5.1,27.2
2021,Brook Lopez,MIL,23,29.0,13.0,299.0,21.517241379310345
2021,Robin Lopez,WAS,5,14.6,7.4,37.0,24.328767123287676
2021,Timothé Luwawu-Cabarrot,BRK,7,3.6,1.1,7.700000000000001,14.666666666666666
2021,Terance Mann,LAC,19,19.9,7.6,144.4,18.331658291457288
2021,Boban Marjanović,DAL,4,20.8,11.8,47.2,27.23076923076923
2021,Garrison Mathews,WAS,3,5.7,1.3,3.9000000000000004,10.947368421052632
2021,Wesley Matthews,LAL,6,18.3,5.5,33.0,14.42622950819672
2021,Tyrese Maxey,PHI,12,13.0,6.3,75.6,23.26153846153846
2021,Skylar Mays,ATL,7,2.4,1.1,7.700000000000001,22.0
2021,CJ McCollum,POR,6,40.0,20.7,124.19999999999999,24.84
2021,JaVale McGee,DEN,4,8.5,2.0,8.0,11.294117647058824
2021,Alfonzo McKinnie,LAL,2,6.0,0.0,0.0,0.0
2021,Ben McLemore,LAL,4,9.0,1.5,6.0,8.0
2021,Nicolò Melli,DAL,3,6.3,0.0,0.0,0.0
2021,De'Anthony Melton,MEM,5,16.6,6.2,31.0,17.927710843373493
2021,Sam Merrill,MIL,8,3.8,0.6,4.8,7.578947368421052
2021,Khris Middleton,MIL,23,40.1,23.6,542.8000000000001,28.249376558603494
2021,Paul Millsap,DEN,9,12.1,6.4,57.6,25.388429752066116
2021,Shake Milton,PHI,12,10.1,4.3,51.599999999999994,20.435643564356432
2021,Donovan Mitchell,UTA,10,34.6,32.3,323.0,44.80924855491329
2021,E'Twaun Moore,PHO,7,6.6,2.4,16.8,17.454545454545457
2021,Ja Morant,MEM,5,40.6,30.2,151.0,35.70443349753694
2021,Juwan Morgan,UTA,2,3.0,0.0,0.0,0.0
2021,Marcus Morris,LAC,19,31.8,12.2,231.79999999999998,18.415094339622637
2021,Markieff Morris,LAL,4,9.5,2.3,9.2,11.621052631578946
2021,Monte Morris,DEN,10,28.6,13.7,137.0,22.993006993006993
2021,Abdel Nader,PHO,5,5.8,0.8,4.0,6.620689655172415
2021,Aaron Nesmith,BOS,5,15.0,3.2,16.0,10.240000000000002
2021,Raul Neto,WAS,5,22.4,6.4,32.0,13.714285714285715
2021,Georges Niang,UTA,11,11.7,3.2,35.2,13.128205128205131
2021,Zeke Nnaji,DEN,5,3.6,2.4,12.0,31.999999999999996
2021,Nerlens Noel,NYK,5,18.4,4.6,23.0,12.0
2021,Frank Ntilikina,NYK,3,1.3,0.0,0.0,0.0
2021,Kendrick Nunn,MIA,4,23.3,10.3,41.2,21.218884120171673
2021,Jusuf Nurkić,POR,6,28.8,13.2,79.19999999999999,21.999999999999996
2021,Jordan Nwora,MIL,5,6.2,3.0,15.0,23.2258064516129
2021,Royce O'Neale,UTA,11,36.7,11.3,124.30000000000001,14.779291553133517
2021,Semi Ojeleye,BOS,2,6.0,0.5,1.0,4.0
2021,Onyeka Okongwu,ATL,18,9.2,2.7,48.6,14.08695652173913
2021,KZ Okpala,MIA,2,3.0,0.0,0.0,0.0
2021,Miye Oni,UTA,8,5.1,0.0,0.0,0.0
2021,Daniel Oturu,LAC,8,1.9,0.6,4.8,15.157894736842104
2021,Jabari Parker,BOS,4,14.8,8.5,34.0,27.567567567567565
2021,Chris Paul,PHO,20,34.2,19.2,384.0,26.94736842105263
2021,Cameron Payne,PHO,22,19.0,9.3,204.60000000000002,23.494736842105265
2021,Elfrid Payton,NYK,2,6.5,0.5,1.0,3.6923076923076925
2021,Reggie Perry,BRK,5,4.4,3.2,16.0,34.90909090909091
2021,Michael Porter Jr.,DEN,10,33.2,17.4,174.0,25.15662650602409
2021,Bobby Portis,MIL,20,18.3,8.8,176.0,23.081967213114755
2021,Kristaps Porziņģis,DAL,7,33.3,13.1,91.7,18.882882882882885
2021,Dwight Powell,DAL,7,7.4,2.7,18.900000000000002,17.513513513513512
2021,Norman Powell,POR,6,36.0,17.0,102.0,22.666666666666664
2021,Payton Pritchard,BOS,5,13.4,3.4,17.0,12.17910447761194
2021,Immanuel Quickley,NYK,5,15.4,5.8,29.0,18.07792207792208
2021,Julius Randle,NYK,5,36.0,18.0,90.0,24.0
2021,Cam Reddish,ATL,4,23.0,12.8,51.2,26.71304347826087
2021,Paul Reed,PHI,3,3.7,1.3,3.9000000000000004,16.864864864864863
2021,Josh Richardson,DAL,7,13.4,4.9,34.300000000000004,17.552238805970152
2021,Austin Rivers,DEN,10,30.5,9.2,92.0,14.478688524590163
2021,Duncan Robinson,MIA,4,25.0,10.3,41.2,19.776
2021,Rajon Rondo,LAC,13,16.9,4.2,54.6,11.928994082840239
2021,Derrick Rose,NYK,5,35.0,19.4,97.0,26.605714285714285
2021,Dario Šarić,PHO,14,10.5,4.5,63.0,20.57142857142857
2021,Dennis Schröder,LAL,6,32.7,14.3,85.80000000000001,20.990825688073393
2021,Mike Scott,PHI,5,6.8,1.2,6.0,8.470588235294118
2021,Jay Scrubb,LAC,6,1.3,0.0,0.0,0.0
2021,Landry Shamet,BRK,12,17.2,4.2,50.400000000000006,11.72093023255814
2021,Ben Simmons,PHI,12,33.5,11.9,142.8,17.050746268656717
2021,Anfernee Simons,POR,6,17.8,6.5,39.0,17.528089887640448
2021,Marcus Smart,BOS,5,36.6,17.8,89.0,23.344262295081965
2021,Ish Smith,WAS,5,22.2,6.8,34.0,14.702702702702704
2021,Jalen Smith,PHO,6,3.0,0.8,4.800000000000001,12.8
2021,Tony Snell,ATL,9,7.3,0.6,5.3999999999999995,3.945205479452055
2021,Max Strus,MIA,2,3.0,0.0,0.0,0.0
2021,Jayson Tatum,BOS,5,37.0,30.6,153.0,39.697297297297304
2021,Jeff Teague,MIL,16,7.4,2.0,32.0,12.972972972972972
2021,Matt Thomas,UTA,3,2.3,0.0,0.0,0.0
2021,Tristan Thompson,BOS,5,26.4,10.4,52.0,18.90909090909091
2021,Matisse Thybulle,PHI,12,18.3,5.3,63.599999999999994,13.901639344262293
2021,Xavier Tillman Sr.,MEM,3,6.0,0.7,2.0999999999999996,5.6
2021,Anthony Tolliver,PHI,1,2.0,0.0,0.0,0.0
2021,Obi Toppin,NYK,5,13.0,6.4,32.0,23.630769230769232
2021,Axel Toupane,MIL,4,2.5,1.3,5.2,24.96
2021,P.J. Tucker,MIL,23,29.6,4.3,98.89999999999999,6.972972972972972
2021,Rayjon Tucker,PHI,1,2.0,1.0,1.0,24.0
2021,Jonas Valančiūnas,MEM,5,33.2,15.0,75.0,21.686746987951803
2021,Gabe Vincent,MIA,3,4.7,1.7,5.1,17.361702127659573
2021,Kemba Walker,BOS,3,30.3,12.7,38.099999999999994,20.118811881188115
2021,Tremont Waters,BOS,3,2.0,1.3,3.9000000000000004,31.200000000000003
2021,Russell Westbrook,WAS,5,37.2,19.0,95.0,24.516129032258064
2021,Grant Williams,BOS,5,11.4,3.4,17.0,14.315789473684209
2021,Lou Williams,ATL,18,15.4,7.7,138.6,24.0
2021,Robert Williams,BOS,3,15.3,6.3,18.9,19.764705882352942
2021,Justise Winslow,MEM,1,3.0,0.0,0.0,0.0
2021,Cassius Winston,WAS,1,5.0,2.0,2.0,19.2
2021,Trae Young,ATL,16,37.7,28.8,460.8,36.6684350132626
2021,Ivica Zubac,LAC,17,17.7,6.3,107.1,17.084745762711865
