Season,Player,Tm,G,MP,PTS,Total_PTS,PTS_per_48
2023,Bam Adebayo,MIA,23,37.0,17.9,411.7,23.221621621621622
2023,Santi Aldama,MEM,6,16.8,6.5,39.0,18.571428571428573
2023,Nickeil Alexander-Walker,MIN,5,29.6,8.4,42.0,13.621621621621621
2023,Grayson Allen,MIL,5,29.8,11.6,58.0,18.68456375838926
2023,Jarrett Allen,CLE,5,38.2,9.4,47.0,11.81151832460733
2023,Kyle Anderson,MIN,4,26.0,8.5,34.0,15.692307692307693
2023,Giannis Antetokounmpo,MIL,3,30.3,23.3,69.9,36.91089108910891
2023,Thanasis Antetokounmpo,MIL,2,2.5,0.0,0.0,0.0
2023,Deandre Ayton,PHO,10,31.9,13.4,134.0,20.163009404388717
2023,Patrick Baldwin Jr.,GSW,3,3.7,0.0,0.0,0.0
2023,Mo Bamba,LAL,3,3.3,0.0,0.0,0.0
2023,Desmond Bane,MEM,6,38.5,23.5,141.0,29.2987012987013
2023,Harrison Barnes,SAC,7,28.0,10.7,74.89999999999999,18.34285714285714
2023,RJ Barrett,NYK,11,34.3,19.3,212.3,27.008746355685137
2023,Nicolas Batum,LAC,5,18.4,4.4,22.0,11.478260869565219
2023,Malik Beasley,LAL,11,8.3,3.0,33.0,17.34939759036144
2023,MarJon Beauchamp,MIL,2,2.5,2.5,5.0,48.0
2023,Saddiq Bey,ATL,6,22.2,7.5,45.0,16.216216216216218
2023,Bismack Biyombo,PHO,8,9.8,3.4,27.2,16.653061224489793
2023,Bogdan Bogdanović,ATL,6,26.2,13.3,79.80000000000001,24.366412213740457
2023,Devin Booker,PHO,11,41.7,33.7,370.70000000000005,38.79136690647482
2023,Brandon Boston Jr.,LAC,1,1.0,0.0,0.0,0.0
2023,Christian Braun,DEN,19,13.0,3.2,60.800000000000004,11.815384615384616
2023,Mikal Bridges,BRK,4,39.3,23.5,94.0,28.702290076335878
2023,Malcolm Brogdon,BOS,19,24.9,11.9,226.1,22.939759036144583
2023,Dillon Brooks,MEM,6,27.8,10.5,63.0,18.1294964028777
2023,Bruce Brown,DEN,20,26.5,12.0,240.0,21.735849056603776
2023,Jaylen Brown,BOS,20,37.6,22.7,454.0,28.978723404255316
2023,Troy Brown Jr.,LAL,12,10.3,1.8,21.6,8.388349514563107
2023,Jalen Brunson,NYK,11,40.3,27.8,305.8,33.11166253101737
2023,Jimmy Butler,MIA,22,39.7,26.9,591.8,32.523929471032744
2023,Kentavious Caldwell-Pope,DEN,20,33.6,10.6,212.0,15.142857142857142
2023,Vlatko Čančar,DEN,5,2.0,0.0,0.0,0.0
2023,Clint Capela,ATL,6,25.2,8.3,49.800000000000004,15.809523809523812
2023,Jevon Carter,MIL,4,12.3,1.3,5.2,5.073170731707317
2023,Justin Champagnie,BOS,4,2.5,0.5,2.0,9.6
2023,Max Christie,LAL,9,3.7,1.4,12.6,18.162162162162158
2023,Nic Claxton,BRK,4,29.3,10.5,42.0,17.20136518771331
2023,Amir Coffey,LAC,1,1.0,0.0,0.0,0.0
2023,John Collins,ATL,6,27.3,11.3,67.80000000000001,19.86813186813187
2023,Mike Conley,MIN,5,36.6,12.0,60.0,15.737704918032787
2023,Pat Connaughton,MIL,4,22.0,12.0,48.0,26.18181818181818
2023,Robert Covington,LAC,2,6.0,0.0,0.0,0.0
2023,Torrey Craig,PHO,11,16.6,6.5,71.5,18.795180722891562
2023,Jae Crowder,MIL,4,10.3,1.8,7.2,8.388349514563107
2023,Seth Curry,BRK,3,19.3,8.3,24.900000000000002,20.642487046632127
2023,Stephen Curry,GSW,13,37.9,30.5,396.5,38.62796833773088
2023,Anthony Davis,LAL,16,38.0,22.6,361.6,28.54736842105263
2023,Terence Davis,SAC,4,14.5,6.0,24.0,19.862068965517242
2023,Dewayne Dedmon,PHI,1,5.0,0.0,0.0,0.0
2023,Spencer Dinwiddie,BRK,4,39.8,16.5,66.0,19.899497487437188
2023,Donte DiVincenzo,GSW,13,18.1,5.5,71.5,14.585635359116022
2023,PJ Dozier,SAC,3,2.0,2.7,8.100000000000001,64.80000000000001
2023,Goran Dragić,MIL,2,3.5,2.0,4.0,27.428571428571427
2023,David Duke Jr.,BRK,1,5.0,2.0,2.0,19.2
2023,Kevin Durant,PHO,11,42.4,29.0,319.0,32.83018867924528
2023,Anthony Edwards,MIN,5,39.8,31.6,158.0,38.1105527638191
2023,Kessler Edwards,SAC,6,1.2,0.0,0.0,0.0
2023,Joel Embiid,PHI,9,37.3,23.7,213.29999999999998,30.498659517426276
2023,Dorian Finney-Smith,BRK,4,25.3,6.3,25.2,11.952569169960473
2023,De'Aaron Fox,SAC,7,38.6,27.4,191.79999999999998,34.07253886010363
2023,Wenyen Gabriel,LAL,10,3.7,1.0,10.0,12.972972972972972
2023,Darius Garland,CLE,5,37.8,20.6,103.0,26.158730158730165
2023,Rudy Gobert,MIN,5,35.4,15.0,75.0,20.33898305084746
2023,Aaron Gordon,DEN,20,35.7,13.3,266.0,17.88235294117647
2023,Eric Gordon,LAC,5,29.8,10.2,51.0,16.42953020134228
2023,Danny Green,CLE,4,10.0,0.8,3.2,3.84
2023,Draymond Green,GSW,12,30.6,9.4,112.80000000000001,14.745098039215687
2023,JaMychal Green,GSW,7,7.0,3.3,23.099999999999998,22.628571428571426
2023,Jeff Green,DEN,20,17.2,4.1,82.0,11.441860465116278
2023,Blake Griffin,BOS,1,6.0,0.0,0.0,0.0
2023,Quentin Grimes,NYK,9,26.9,5.1,45.9,9.100371747211897
2023,Rui Hachimura,LAL,16,24.3,12.2,195.2,24.098765432098762
2023,James Harden,PHI,11,38.8,20.3,223.3,25.113402061855673
2023,Montrezl Harrell,PHI,2,3.5,0.0,0.0,0.0
2023,Joe Harris,BRK,4,11.0,1.8,7.2,7.8545454545454545
2023,Tobias Harris,PHI,11,35.6,15.3,168.3,20.629213483146067
2023,Shaquille Harrison,LAL,8,3.5,1.3,10.4,17.82857142857143
2023,Josh Hart,NYK,11,32.1,10.4,114.4,15.551401869158878
2023,Isaiah Hartenstein,NYK,11,20.0,3.1,34.1,7.4399999999999995
2023,Udonis Haslem,MIA,2,1.5,0.0,0.0,0.0
2023,Sam Hauser,BOS,15,6.9,2.0,30.0,13.91304347826087
