Season,Player,Tm,G,MP,PTS,Total_PTS,PTS_per_48
2020,Jaylen Adams,POR,3,7.0,2.0,6.0,13.714285714285714
2020,Steven Adams,OKC,7,30.0,10.1,70.7,16.16
2020,Bam Adebayo,MIA,19,36.2,17.8,338.2,23.60220994475138
2020,Jarrett Allen,BRK,4,33.0,10.3,41.2,14.981818181818184
2020,Justin Anderson,BRK,3,9.3,6.3,18.9,32.516129032258064
2020,Giannis Antetokounmpo,MIL,9,30.8,26.7,240.29999999999998,41.61038961038961
2020,Carmelo Anthony*,POR,5,35.2,15.2,76.0,20.727272727272723
2020,OG Anunoby,TOR,11,35.7,10.5,115.5,14.117647058823529
2020,D.J. Augustin,ORL,5,25.6,13.2,66.0,24.75
2020,J.J. Barea,DAL,1,5.0,3.0,3.0,28.799999999999997
2020,Keita Bates-Diop,DEN,5,4.8,0.6,3.0,6.0
2020,Darius Bazley,OKC,7,18.0,6.6,46.199999999999996,17.599999999999998
2020,Patrick Beverley,LAC,8,20.8,6.3,50.4,14.538461538461537
2020,Khem Birch,ORL,5,17.8,4.8,24.0,12.9438202247191
2020,Eric Bledsoe,MIL,9,29.7,11.7,105.3,18.909090909090907
2020,Bol Bol,DEN,4,5.3,4.8,19.2,43.471698113207545
2020,Chris Boucher,TOR,7,6.1,1.1,7.700000000000001,8.655737704918034
2020,Tony Bradley,UTA,6,8.0,1.5,9.0,9.0
2020,Jarrell Brantley,UTA,2,6.5,0.5,1.0,3.6923076923076925
2020,Malcolm Brogdon,IND,4,40.0,21.5,86.0,25.8
2020,Jaylen Brown,BOS,17,39.5,21.8,370.6,26.49113924050633
2020,Sterling Brown,MIL,1,4.0,0.0,0.0,0.0
2020,Trey Burke,DAL,6,26.0,12.3,73.80000000000001,22.70769230769231
2020,Alec Burks,PHI,4,23.8,10.5,42.0,21.176470588235293
2020,Deonte Burton,OKC,1,2.0,0.0,0.0,0.0
2020,Jimmy Butler,MIA,21,38.4,22.2,466.2,27.75
2020,Bruno Caboclo,HOU,2,3.5,1.0,2.0,13.714285714285714
2020,Kentavious Caldwell-Pope,LAL,21,29.0,10.7,224.7,17.710344827586205
2020,DeMarre Carroll,HOU,2,3.0,1.0,2.0,16.0
2020,Alex Caruso,LAL,21,24.3,6.5,136.5,12.839506172839506
2020,Chris Chiozza,BRK,4,16.3,5.8,23.2,17.07975460122699
2020,Gary Clark,ORL,5,28.8,7.4,37.0,12.333333333333332
2020,Jordan Clarkson,UTA,7,28.6,16.7,116.89999999999999,28.027972027972027
2020,Chris Clemons,HOU,2,4.0,3.5,7.0,42.0
2020,Antonius Cleveland,DAL,2,4.5,2.0,4.0,21.333333333333332
2020,Amir Coffey,LAC,3,2.3,0.7,2.0999999999999996,14.608695652173912
2020,Mike Conley,UTA,5,33.0,19.8,99.0,28.8
2020,Pat Connaughton,MIL,10,17.1,4.0,40.0,11.228070175438596
2020,Quinn Cook,LAL,6,4.0,2.2,13.200000000000001,26.400000000000002
2020,Tyler Cook,DEN,1,4.0,0.0,0.0,0.0
2020,Robert Covington,HOU,12,31.6,11.2,134.39999999999998,17.0126582278481
2020,Torrey Craig,DEN,19,19.7,4.5,85.5,10.964467005076143
2020,Jae Crowder,MIA,21,31.4,12.0,252.0,18.34394904458599
2020,Seth Curry,DAL,6,28.8,12.8,76.80000000000001,21.333333333333332
2020,Troy Daniels,DEN,6,5.0,2.7,16.200000000000003,25.92
2020,Anthony Davis,LAL,21,36.6,27.7,581.6999999999999,36.32786885245901
2020,Terence Davis,TOR,6,14.0,7.2,43.2,24.685714285714283
2020,Hamidou Diallo,OKC,3,8.3,4.3,12.899999999999999,24.86746987951807
2020,Donte DiVincenzo,MIL,10,16.5,6.6,66.0,19.2
2020,Luka Dončić,DAL,6,35.8,31.0,186.0,41.56424581005587
2020,Luguentz Dort,OKC,6,29.2,12.5,75.0,20.547945205479454
2020,PJ Dozier,DEN,12,10.4,3.2,38.400000000000006,14.769230769230768
2020,Goran Dragić,MIA,17,32.5,19.1,324.70000000000005,28.20923076923077
2020,Jared Dudley,LAL,9,3.4,0.0,0.0,0.0
2020,Carsen Edwards,BOS,1,3.0,0.0,0.0,0.0
2020,Joel Embiid,PHI,4,36.3,30.0,120.0,39.66942148760331
2020,James Ennis III,ORL,5,23.8,7.0,35.0,14.117647058823529
2020,Tacko Fall,BOS,2,1.5,1.5,3.0,48.0
2020,Terrance Ferguson,OKC,4,10.5,1.5,6.0,6.857142857142857
2020,Dorian Finney-Smith,DAL,6,31.8,10.2,61.199999999999996,15.396226415094338
2020,Evan Fournier,ORL,5,34.2,12.8,64.0,17.964912280701753
2020,Michael Frazier,HOU,4,3.0,0.8,3.2,12.8
2020,Enes Freedom,BOS,11,9.3,4.5,49.5,23.225806451612904
2020,Markelle Fultz,ORL,5,29.4,12.0,60.0,19.591836734693878
2020,Wenyen Gabriel,POR,4,13.3,5.3,21.2,19.12781954887218
2020,Danilo Gallinari,OKC,7,30.3,15.0,105.0,23.76237623762376
2020,Marc Gasol,TOR,11,20.7,6.0,66.0,13.913043478260871
2020,Paul George,LAC,13,36.8,20.2,262.59999999999997,26.34782608695652
2020,Shai Gilgeous-Alexander,OKC,7,39.9,16.3,114.10000000000001,19.609022556390975
2020,Rudy Gobert,UTA,7,38.6,16.9,118.29999999999998,21.015544041450774
2020,Eric Gordon,HOU,12,34.2,17.3,207.60000000000002,24.280701754385966
2020,Jerami Grant,DEN,19,34.4,11.6,220.4,16.186046511627907
2020,Danny Green,LAL,21,25.0,8.0,168.0,15.36
2020,JaMychal Green,LAC,13,17.1,6.1,79.3,17.122807017543856
2020,Javonte Green,BOS,1,6.0,3.0,3.0,24.0
2020,Jeff Green,HOU,12,28.4,11.6,139.2,19.605633802816904
2020,Donta Hall,BRK,3,6.7,2.3,6.8999999999999995,16.477611940298505
2020,Tim Hardaway Jr.,DAL,6,34.0,17.8,106.80000000000001,25.129411764705885
2020,James Harden,HOU,12,37.3,29.6,355.20000000000005,38.09115281501341
2020,Montrezl Harrell,LAC,13,18.7,10.5,136.5,26.951871657754012
2020,Gary Harris,DEN,14,27.1,7.4,103.60000000000001,13.107011070110701
2020,Joe Harris,BRK,2,36.0,16.5,33.0,22.0
2020,Tobias Harris,PHI,4,37.3,15.8,63.2,20.332439678284185
2020,Gordon Hayward,BOS,5,31.4,10.8,54.0,16.509554140127392
2020,Tyler Herro,MIA,21,33.6,16.0,336.0,22.857142857142858
2020,Mario Hezonja,POR,5,13.6,4.6,23.0,16.235294117647058
2020,George Hill,MIL,10,26.8,9.5,95.0,17.01492537313433
2020,Solomon Hill,MIA,7,6.0,1.7,11.9,13.6
2020,Jaylen Hoard,POR,3,13.7,4.7,14.100000000000001,16.467153284671536
2020,Aaron Holiday,IND,4,18.0,7.8,31.2,20.799999999999997
2020,Justin Holiday,IND,4,32.8,7.3,29.2,10.682926829268293
2020,Rondae Hollis-Jefferson,TOR,5,7.8,2.8,14.0,17.23076923076923
2020,Al Horford,PHI,4,32.3,7.0,28.0,10.40247678018576
2020,Talen Horton-Tucker,LAL,2,8.5,7.0,14.0,39.529411764705884
2020,Danuel House Jr.,HOU,9,31.0,11.4,102.60000000000001,17.651612903225807
2020,Dwight Howard*,LAL,18,15.7,5.8,104.39999999999999,17.73248407643312
2020,Serge Ibaka,TOR,11,22.8,14.8,162.8,31.157894736842106
2020,Andre Iguodala,MIA,21,19.5,3.8,79.8,9.353846153846154
2020,Ersan İlyasova,MIL,3,7.7,3.0,9.0,18.701298701298704
2020,Joe Ingles,UTA,7,33.4,9.1,63.699999999999996,13.077844311377245
2020,Wes Iwundu,ORL,5,15.2,4.2,21.0,13.263157894736842
2020,Justin Jackson,DAL,3,5.3,1.3,3.9000000000000004,11.773584905660378
2020,Reggie Jackson,LAC,12,14.2,4.9,58.800000000000004,16.563380281690144
2020,LeBron James,LAL,21,36.3,27.6,579.6,36.49586776859505
2020,B.J. Johnson,ORL,1,4.0,3.0,3.0,36.0
2020,Stanley Johnson,TOR,3,6.7,4.3,12.899999999999999,30.80597014925373
2020,Tyler Johnson,BRK,4,23.3,13.8,55.2,28.429184549356222
2020,Nikola Jokić,DEN,19,36.5,24.4,463.59999999999997,32.08767123287671
2020,Derrick Jones Jr.,MIA,15,6.5,1.5,22.5,11.076923076923077
2020,Michael Kidd-Gilchrist,DAL,6,9.2,2.3,13.799999999999999,12.0
2020,Maxi Kleber,DAL,6,33.8,6.7,40.2,9.514792899408285
2020,Furkan Korkmaz,PHI,4,10.0,0.8,3.2,3.84
2020,Kyle Korver,MIL,10,11.9,6.2,62.0,25.008403361344538
2020,Rodions Kurucs,BRK,4,14.5,5.5,22.0,18.20689655172414
2020,Kyle Kuzma,LAL,21,23.0,10.0,210.0,20.869565217391305
2020,Romeo Langford,BOS,7,6.6,1.4,9.799999999999999,10.181818181818182
2020,Vic Law,ORL,1,4.0,3.0,3.0,36.0
2020,Kawhi Leonard,LAC,13,39.3,28.2,366.59999999999997,34.44274809160305
2020,Meyers Leonard,MIA,3,10.3,4.7,14.100000000000001,21.902912621359224
2020,Caris LeVert,BRK,4,35.0,20.3,81.2,27.84
2020,Damian Lillard,POR,4,35.8,24.3,97.2,32.581005586592184
2020,Brook Lopez,MIL,10,32.8,15.8,158.0,23.121951219512198
2020,Robin Lopez,MIL,3,7.0,2.0,6.0,13.714285714285714
2020,Kyle Lowry,TOR,11,37.5,17.7,194.7,22.656
2020,Timothé Luwawu-Cabarrot,BRK,4,32.8,16.0,64.0,23.414634146341466
2020,Terance Mann,LAC,13,2.1,0.3,3.9,6.857142857142857
2020,Boban Marjanović,DAL,6,13.7,6.8,40.8,23.824817518248175
2020,Jeremiah Martin,BRK,3,9.0,4.0,12.0,21.333333333333332
2020,Frank Mason III,MIL,2,1.0,0.0,0.0,0.0
2020,Wesley Matthews,MIL,10,24.6,7.2,72.0,14.048780487804878
2020,CJ McCollum,POR,5,39.2,23.2,116.0,28.40816326530612
2020,T.J. McConnell,IND,3,9.3,2.3,6.8999999999999995,11.870967741935482
2020,Doug McDermott,IND,4,13.5,2.5,10.0,8.88888888888889
2020,JaVale McGee,LAL,14,9.6,2.9,40.6,14.5
2020,Rodney McGruder,LAC,5,3.2,1.6,8.0,24.0
2020,Ben McLemore,HOU,11,11.8,4.0,44.0,16.271186440677965
2020,Khris Middleton,MIL,10,35.5,20.3,203.0,27.44788732394366
2020,Malcolm Miller,TOR,1,5.0,3.0,3.0,28.799999999999997
2020,Paul Millsap,DEN,19,24.2,8.0,152.0,15.867768595041323
2020,Shake Milton,PHI,4,31.5,14.5,58.0,22.095238095238095
2020,Donovan Mitchell,UTA,7,37.7,36.3,254.09999999999997,46.21750663129973
2020,Juwan Morgan,UTA,7,12.3,1.4,9.799999999999999,5.463414634146341
2020,Marcus Morris,LAC,13,29.8,11.8,153.4,19.006711409395972
2020,Markieff Morris,LAL,21,18.3,5.9,123.9,15.475409836065573
2020,Monte Morris,DEN,19,21.4,9.1,172.9,20.41121495327103
2020,Emmanuel Mudiay,UTA,3,11.3,4.3,12.899999999999999,18.265486725663713
2020,Jamal Murray,DEN,19,39.6,26.5,503.5,32.121212121212125
2020,Džanan Musa,BRK,3,13.0,4.7,14.100000000000001,17.353846153846156
2020,Mike Muscala,OKC,2,10.0,1.5,3.0,7.199999999999999
2020,Abdel Nader,OKC,3,8.3,1.3,3.9000000000000004,7.518072289156626
2020,Raul Neto,PHI,2,13.0,4.0,8.0,14.76923076923077
2020,Georges Niang,UTA,7,16.3,8.3,58.10000000000001,24.441717791411044
2020,Joakim Noah,LAC,2,1.0,0.0,0.0,0.0
2020,Nerlens Noel,OKC,7,13.9,3.0,21.0,10.359712230215827
2020,Kendrick Nunn,MIA,15,15.9,6.1,91.5,18.415094339622637
2020,Jusuf Nurkić,POR,5,32.2,14.2,71.0,21.167701863354036
2020,Royce O'Neale,UTA,7,35.6,5.6,39.199999999999996,7.550561797752808
2020,Kyle O'Quinn,PHI,1,6.0,0.0,0.0,0.0
2020,Semi Ojeleye,BOS,13,9.4,1.6,20.8,8.170212765957446
2020,Victor Oladipo,IND,4,30.8,17.8,71.2,27.74025974025974
2020,Kelly Olynyk,MIA,17,15.2,7.6,129.2,24.0
2020,Miye Oni,UTA,2,7.0,3.5,7.0,24.0
2020,Patrick Patterson,LAC,2,5.0,4.5,9.0,43.199999999999996
2020,Chris Paul,OKC,7,37.3,21.3,149.1,27.410187667560326
2020,Norvel Pelle,PHI,1,7.0,0.0,0.0,0.0
