Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Devin Booker,PG,27,PHO,4,4,41.5,8.0,16.3,.492,1.8,5.0,.350,6.3,11.3,.556,.546,9.8,10.3,.951,0.3,3.0,3.3,6.0,1.8,0.3,2.8,4.5,27.5
22,Brandon Boston Jr.,SF,22,LAC,3,0,3.3,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,0.3,0.7,.500,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.7,1.7
23,Christian Braun,SG,22,DEN,12,0,17.0,1.9,4.5,.426,0.3,1.5,.222,1.6,3.0,.528,.463,0.9,1.3,.688,0.8,1.9,2.7,0.8,0.2,0.4,0.1,1.5,5.1
24,Oshae Brissett,SF,25,BOS,10,0,5.5,0.6,1.1,.545,0.2,0.2,1.000,0.4,0.9,.444,.636,0.2,0.4,.500,0.3,1.1,1.4,0.0,0.3,0.2,0.1,0.2,1.6
25,Jaylen Brown,SF,27,BOS,19,19,37.2,9.2,17.8,.516,1.9,5.8,.327,7.3,12.1,.607,.569,3.6,5.4,.660,1.2,4.8,5.9,3.3,1.2,0.6,2.7,2.7,23.9
26,Kendall Brown,SG,20,IND,7,0,3.6,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.1,0.4,0.3,0.6
27,Kobe Brown,PF,24,LAC,3,0,3.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.3,0.0
28,Jalen Brunson,PG,27,NYK,13,13,39.8,11.6,26.2,.444,2.0,6.5,.310,9.6,19.7,.488,.482,7.2,9.2,.775,0.6,2.7,3.3,7.5,0.8,0.2,2.7,2.0,32.4
29,Thomas Bryant,C,26,MIA,2,0,9.0,2.5,3.5,.714,0.0,1.0,.000,2.5,2.5,1.000,.714,1.0,1.5,.667,1.0,1.5,2.5,0.5,0.0,0.0,1.0,0.5,6.0
30,Alec Burks,SG,32,NYK,6,0,20.2,4.2,8.3,.500,2.0,4.7,.429,2.2,3.7,.591,.620,4.5,5.3,.844,0.7,2.7,3.3,1.0,0.2,0.2,0.0,1.0,14.8
31,Kentavious Caldwell-Pope,SG,30,DEN,12,12,35.0,2.8,7.2,.395,1.5,4.6,.327,1.3,2.6,.516,.500,0.9,0.9,1.000,0.4,2.5,2.9,2.6,1.4,0.4,0.8,3.1,8.1
32,Wendell Carter Jr.,C,24,ORL,7,5,26.4,2.7,6.7,.404,1.0,3.6,.280,1.7,3.1,.545,.479,1.1,1.6,.727,1.3,5.0,6.3,1.3,0.7,0.6,0.7,2.9,7.6
33,Amir Coffey,SF,26,LAC,6,3,18.7,1.2,3.7,.318,0.5,1.8,.273,0.7,1.8,.364,.386,0.0,0.0,,0.3,1.3,1.7,0.3,0.3,0.2,0.8,1.0,2.8
34,Mike Conley,PG,36,MIN,15,15,31.6,4.1,9.7,.428,2.0,5.1,.395,2.1,4.6,.464,.531,1.3,1.9,.714,0.7,3.2,3.9,5.7,1.4,0.2,1.3,2.5,11.6
35,Pat Connaughton,SF,31,MIL,6,0,20.7,1.8,4.2,.440,0.5,1.8,.273,1.3,2.3,.571,.500,0.3,0.3,1.000,0.5,3.3,3.8,2.2,1.0,0.2,0.5,1.0,4.5
36,Jae Crowder,PF,33,MIL,4,0,10.5,0.8,3.0,.250,0.3,1.8,.143,0.5,1.3,.400,.292,0.5,0.5,1.000,0.5,1.0,1.5,0.5,0.0,0.5,0.0,1.0,2.3
37,Dyson Daniels,PG,20,NOP,3,0,5.7,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.0,,0.0,0.7,0.7,0.0,0.7,0.0,0.3,0.0,1.3
38,Anthony Davis,C,30,LAL,5,5,41.6,11.8,18.6,.634,0.0,1.0,.000,11.8,17.6,.670,.634,4.2,5.2,.808,3.0,12.6,15.6,4.0,0.4,1.6,2.2,3.8,27.8
39,Mamadi Diakite,PF,27,NYK,4,0,3.8,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.5,0.5,1.000,0.0,0.8,0.8,0.3,0.3,0.3,0.3,0.8,0.5
40,Ousmane Dieng,PF,20,OKC,4,0,1.8,0.3,0.5,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Spencer Dinwiddie,PG,30,LAL,5,0,14.6,1.0,2.8,.357,0.4,1.6,.250,0.6,1.2,.500,.429,0.6,1.2,.500,0.2,1.2,1.4,1.6,0.4,0.2,0.2,1.4,3.0
42,Donte DiVincenzo,SG,27,NYK,13,13,35.8,6.2,14.7,.419,3.5,8.2,.425,2.7,6.5,.412,.537,2.0,2.3,.867,1.0,3.0,4.0,2.6,1.2,0.9,1.2,2.2,17.8
43,Luka Dončić,PG,24,DAL,22,22,40.9,10.2,22.9,.446,3.1,9.6,.322,7.1,13.3,.536,.514,5.3,7.0,.765,0.7,8.7,9.5,8.1,1.9,0.4,4.1,2.5,28.9
44,Luguentz Dort,SF,24,OKC,10,10,35.0,3.3,9.1,.363,2.5,6.4,.391,0.8,2.7,.296,.500,1.6,1.9,.842,1.9,2.7,4.6,2.0,1.3,0.2,1.1,4.2,10.7
45,Kevin Durant,PF,35,PHO,4,4,42.0,9.3,16.8,.552,1.3,3.0,.417,8.0,13.8,.582,.590,7.0,8.5,.824,0.3,6.3,6.5,3.3,0.5,1.5,2.5,2.0,26.8
46,Anthony Edwards,SG,22,MIN,16,16,40.6,9.8,20.3,.481,2.9,7.2,.400,6.9,13.1,.526,.552,5.2,6.4,.814,1.1,5.9,7.0,6.5,1.5,0.6,3.3,2.3,27.6
47,Joel Embiid,C,29,PHI,6,6,41.3,9.8,22.2,.444,2.2,6.5,.333,7.7,15.7,.489,.492,11.2,13.0,.859,3.2,7.7,10.8,5.7,1.2,1.5,4.2,3.3,33.0
48,Drew Eubanks,C,26,PHO,3,0,12.3,2.3,4.0,.583,0.0,0.0,,2.3,4.0,.583,.583,1.0,1.0,1.000,0.0,1.3,1.3,0.0,0.7,0.3,0.7,2.0,5.7
49,Dante Exum,PG,28,DAL,21,0,6.9,0.8,2.1,.364,0.3,1.0,.350,0.4,1.1,.375,.443,0.2,0.3,.667,0.1,0.7,0.8,0.6,0.1,0.0,0.2,0.4,2.0
50,Markelle Fultz,PG,25,ORL,7,0,15.1,2.9,4.9,.588,0.0,0.1,.000,2.9,4.7,.606,.588,0.7,1.3,.556,1.0,1.0,2.0,1.1,0.4,0.0,1.1,1.7,6.4
51,Daniel Gafford,PF,25,DAL,22,22,20.2,3.5,5.6,.634,0.0,0.0,,3.5,5.6,.634,.634,1.9,3.0,.631,1.9,3.6,5.5,0.7,0.3,1.5,0.9,1.7,9.0
52,Danilo Gallinari,SF,35,MIL,3,0,12.3,1.3,2.7,.500,0.0,0.7,.000,1.3,2.0,.667,.500,1.0,1.3,.750,0.3,2.7,3.0,0.7,0.0,0.0,0.3,0.0,3.7
53,Darius Garland,PG,24,CLE,12,12,36.0,6.1,14.3,.427,2.1,5.9,.352,4.0,8.3,.480,.500,1.4,1.8,.810,0.1,3.5,3.6,5.8,1.1,0.2,2.3,2.8,15.7
54,Luka Garza,C,25,MIN,7,0,3.7,1.4,1.7,.833,0.3,0.4,.667,1.1,1.3,.889,.917,1.0,1.1,.875,0.3,0.6,0.9,0.1,0.0,0.0,0.0,0.0,4.1
55,Paul George,PF,33,LAC,6,6,37.0,6.5,15.8,.411,3.0,8.2,.367,3.5,7.7,.457,.505,3.5,4.2,.840,0.5,6.3,6.8,4.8,1.2,0.5,2.3,3.7,19.5
56,Josh Giddey,SG,21,OKC,10,8,18.1,3.4,7.5,.453,1.2,3.4,.353,2.2,4.1,.537,.533,0.7,0.8,.875,0.7,2.9,3.6,2.1,0.2,0.4,1.2,0.9,8.7
57,Shai Gilgeous-Alexander,PG,25,OKC,10,10,39.9,11.1,22.4,.496,1.6,3.7,.432,9.5,18.7,.508,.531,6.4,8.1,.790,0.8,6.4,7.2,6.4,1.3,1.7,2.2,3.1,30.2
58,Rudy Gobert,C,31,MIN,15,15,34.1,4.3,6.9,.615,0.0,0.0,,4.3,6.9,.615,.615,3.5,5.3,.671,2.7,7.1,9.8,1.6,0.9,1.0,1.5,3.7,12.1
59,Aaron Gordon,PF,28,DEN,12,12,37.1,5.8,9.8,.585,0.9,2.3,.407,4.8,7.6,.637,.631,1.9,2.3,.821,3.0,4.3,7.3,4.4,0.8,0.6,1.5,2.3,14.3
60,Eric Gordon,SG,35,PHO,4,0,29.5,2.3,7.0,.321,1.8,4.3,.412,0.5,2.8,.182,.446,1.8,2.0,.875,0.3,1.5,1.8,1.3,1.3,0.5,1.0,1.3,8.0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,A.J. Green,SG,24,MIL,6,0,11.2,1.0,2.7,.375,0.3,1.8,.182,0.7,0.8,.800,.438,0.5,0.5,1.000,0.0,1.5,1.5,0.3,0.0,0.0,0.2,1.5,2.8
62,Josh Green,SG,23,DAL,22,0,18.1,1.6,3.9,.424,1.0,2.7,.390,0.6,1.2,.500,.559,0.6,0.9,.737,1.0,1.6,2.5,1.0,0.8,0.1,0.3,1.3,5.0
63,Rui Hachimura,PF,25,LAL,5,5,30.4,3.0,7.6,.395,1.0,2.8,.357,2.0,4.8,.417,.461,0.8,1.6,.500,1.2,2.6,3.8,0.8,0.0,0.0,0.4,1.6,7.8
64,Tyrese Haliburton,PG,23,IND,15,15,34.8,7.0,14.3,.488,3.5,9.3,.379,3.5,5.0,.693,.612,1.1,1.3,.850,0.8,4.0,4.8,8.2,1.3,0.7,2.1,0.9,18.7
65,Tim Hardaway Jr.,SF,31,DAL,14,0,12.7,1.6,4.1,.379,0.9,2.6,.351,0.6,1.5,.429,.491,0.3,0.6,.500,0.1,1.6,1.8,0.4,0.4,0.1,0.1,0.7,4.4
66,James Harden,PG,34,LAC,6,6,40.3,6.7,14.8,.449,3.0,7.8,.383,3.7,7.0,.524,.551,4.8,5.3,.906,0.5,4.0,4.5,8.0,1.0,1.0,2.3,2.2,21.2
67,Jaden Hardy,SG,21,DAL,19,0,6.8,1.5,3.6,.426,0.6,1.4,.407,0.9,2.2,.439,.507,0.6,0.8,.733,0.1,0.7,0.8,0.9,0.2,0.0,0.4,0.7,4.2
68,Gary Harris,SG,29,ORL,6,6,26.5,1.3,4.7,.286,1.2,3.7,.318,0.2,1.0,.167,.411,0.3,0.3,1.000,0.8,1.2,2.0,0.7,1.2,0.5,0.3,3.0,4.2
69,Tobias Harris,PF,31,PHI,6,6,36.3,3.7,8.5,.431,1.0,3.0,.333,2.7,5.5,.485,.490,0.7,0.7,1.000,1.5,5.7,7.2,1.5,0.2,0.5,0.5,1.8,9.0
70,Josh Hart,SF,28,NYK,13,13,42.2,5.1,11.5,.440,1.7,4.5,.373,3.4,7.0,.484,.513,2.7,3.7,.729,2.8,8.7,11.5,4.5,1.0,0.8,2.6,3.2,14.5
71,Isaiah Hartenstein,C,25,NYK,13,13,29.8,3.5,5.8,.592,0.1,0.2,.500,3.4,5.7,.595,.599,1.5,1.7,.864,3.8,4.1,7.8,3.5,0.3,0.9,1.5,3.2,8.5
72,Sam Hauser,SF,26,BOS,19,0,14.9,1.9,4.4,.429,1.4,3.7,.380,0.5,0.7,.692,.589,0.2,0.2,1.000,0.4,1.7,2.2,0.6,0.3,0.2,0.2,1.1,5.4
73,Jordan Hawkins,SG,21,NOP,3,0,4.0,0.0,1.3,.000,0.0,1.0,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.3,0.0
74,Jaxson Hayes,C,23,LAL,4,0,6.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.3,0.5,.500,0.8,2.3,3.0,0.3,0.0,0.0,0.5,1.8,0.3
75,Gordon Hayward,SF,33,OKC,7,0,6.6,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,.000,0.0,0.0,,0.1,1.7,1.9,0.4,0.1,0.1,0.0,0.3,0.0
76,Tyler Herro,SG,24,MIA,5,5,37.0,6.0,15.6,.385,3.0,8.6,.349,3.0,7.0,.429,.481,1.8,2.0,.900,0.0,3.6,3.6,5.4,0.4,0.0,2.8,2.0,16.8
77,Buddy Hield,SG,31,PHI,4,0,12.8,1.8,4.3,.412,1.5,3.3,.462,0.3,1.0,.250,.588,0.5,0.5,1.000,0.5,0.8,1.3,0.5,0.0,0.3,0.5,1.0,5.5
78,Haywood Highsmith,PF,27,MIA,5,0,25.2,2.0,5.6,.357,0.6,3.2,.188,1.4,2.4,.583,.411,0.2,0.2,1.000,0.4,2.4,2.8,1.6,0.2,0.2,0.8,2.8,4.8
79,Jrue Holiday,PG,33,BOS,19,19,37.9,5.1,10.2,.503,1.8,4.6,.402,3.3,5.6,.585,.593,1.1,1.2,.955,1.9,4.2,6.1,4.4,1.1,0.6,1.5,2.1,13.2
80,Justin Holiday,SG,34,DEN,12,0,12.5,0.9,2.9,.314,0.9,2.4,.379,0.0,0.5,.000,.471,0.2,0.3,.500,0.1,1.6,1.7,0.3,0.5,0.0,0.3,1.3,2.9
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
81,Chet Holmgren,C,21,OKC,10,10,34.5,5.9,11.9,.496,1.3,5.0,.260,4.6,6.9,.667,.550,2.5,3.3,.758,1.4,5.8,7.2,2.1,0.7,2.5,1.9,2.6,15.6
82,Al Horford,C,37,BOS,19,15,30.3,3.5,7.3,.478,1.8,5.0,.368,1.6,2.3,.721,.605,0.4,0.6,.636,1.8,5.2,7.0,2.1,0.8,0.8,0.6,1.5,9.2
83,Caleb Houstan,SF,21,ORL,3,0,4.7,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,.750,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,1.0
84,Jett Howard,SF,20,ORL,2,0,5.0,1.0,1.5,.667,0.5,0.5,1.000,0.5,1.0,.500,.833,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,2.5
85,Bones Hyland,PG,23,LAC,3,0,4.0,1.0,2.3,.429,0.3,1.7,.200,0.7,0.7,1.000,.500,1.3,1.3,1.000,0.0,0.7,0.7,1.3,0.0,0.0,0.3,0.0,3.7
86,Joe Ingles,SF,36,ORL,7,0,9.7,0.6,1.7,.333,0.3,1.0,.286,0.3,0.7,.400,.417,0.1,0.3,.500,0.3,1.6,1.9,1.7,0.4,0.0,0.0,0.4,1.6
87,Brandon Ingram,SF,26,NOP,4,4,36.3,4.8,13.8,.345,0.5,2.0,.250,4.3,11.8,.362,.364,4.3,4.8,.895,0.3,4.3,4.5,3.3,1.0,1.3,2.3,2.0,14.3
88,Kyrie Irving,SG,31,DAL,22,22,40.0,8.5,18.1,.467,2.4,6.2,.390,6.0,11.9,.508,.534,2.8,3.3,.849,1.0,2.7,3.7,5.1,1.0,0.3,2.3,2.8,22.1
89,Jonathan Isaac,PF,26,ORL,7,3,21.0,2.3,5.6,.410,1.4,3.9,.370,0.9,1.7,.500,.538,0.3,0.3,1.000,1.4,3.4,4.9,0.4,0.7,1.3,0.6,1.0,6.3
90,Andre Jackson Jr.,SG,22,MIL,5,0,12.0,1.0,2.2,.455,0.4,1.2,.333,0.6,1.0,.600,.545,0.0,0.0,,1.0,1.2,2.2,2.0,1.0,0.2,0.6,2.0,2.4
91,Isaiah Jackson,C,22,IND,15,0,10.3,1.5,2.9,.535,0.0,0.0,,1.5,2.9,.535,.535,0.7,1.2,.611,1.4,1.8,3.2,0.5,0.2,0.9,0.3,1.6,3.8
92,Reggie Jackson,PG,33,DEN,12,0,9.8,1.3,4.0,.333,0.7,1.9,.348,0.7,2.1,.320,.417,0.2,0.2,1.000,0.2,1.1,1.3,1.0,0.2,0.1,0.7,1.0,3.5
93,LeBron James,PF,39,LAL,5,5,40.8,11.2,19.8,.566,2.0,5.2,.385,9.2,14.6,.630,.616,3.4,4.6,.739,0.8,6.0,6.8,8.8,2.4,1.0,3.8,2.2,27.8
94,Jaime Jaquez Jr.,SF,22,MIA,4,4,30.8,5.3,13.0,.404,0.8,3.3,.231,4.5,9.8,.462,.433,1.5,1.8,.857,0.5,2.8,3.3,3.0,0.8,0.5,1.8,1.5,12.8
95,DaQuan Jeffries,SG,26,NYK,4,0,5.0,0.8,2.0,.375,0.5,1.3,.400,0.3,0.8,.333,.500,0.0,0.0,,0.3,0.8,1.0,0.0,0.3,0.0,0.0,0.5,2.0
96,Isaiah Joe,SG,24,OKC,10,2,17.3,2.4,5.4,.444,1.6,3.9,.410,0.8,1.5,.533,.593,0.0,0.0,,0.4,1.8,2.2,1.0,0.5,0.0,0.5,1.0,6.4
97,James Johnson,PF,36,IND,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
98,Nikola Jokić,C,28,DEN,12,12,40.2,11.1,20.3,.545,1.2,4.4,.264,9.9,15.9,.623,.574,5.3,5.9,.901,3.6,9.8,13.4,8.7,1.4,0.7,3.3,2.7,28.7
99,Damian Jones,C,28,CLE,2,0,4.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.5,1.0,0.0,0.0
100,Derrick Jones Jr.,SF,26,DAL,22,22,29.4,3.5,7.3,.481,1.1,3.0,.369,2.4,4.3,.558,.556,1.0,1.4,.733,1.5,2.0,3.5,1.2,0.5,1.0,0.8,2.5,9.1
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
101,Herbert Jones,SF,25,NOP,4,4,35.3,4.0,10.3,.390,2.0,6.0,.333,2.0,4.3,.471,.488,3.0,3.0,1.000,1.5,3.5,5.0,2.5,1.3,0.3,2.8,3.8,13.0
102,DeAndre Jordan,C,35,DEN,2,0,6.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,1.0,1.0,1.000,0.5,1.0,1.5,0.0,0.5,0.5,0.0,2.0,2.0
103,Nikola Jović,PF,20,MIA,5,5,25.6,3.2,7.2,.444,1.8,4.4,.409,1.4,2.8,.500,.569,1.2,1.4,.857,0.4,6.2,6.6,2.2,1.0,0.6,1.2,1.8,9.4
104,Maxi Kleber,C,32,DAL,13,0,16.8,1.2,3.0,.410,0.9,2.2,.429,0.3,0.8,.364,.564,0.3,0.5,.667,0.3,1.6,1.9,1.0,0.2,0.3,0.4,1.5,3.7
105,Luke Kornet,C,28,BOS,13,0,10.2,1.1,1.6,.667,0.0,0.0,,1.1,1.6,.667,.667,0.8,1.0,.846,1.5,1.7,3.2,0.5,0.1,0.4,0.5,0.8,3.0
106,A.J. Lawson,SG,23,DAL,10,0,3.0,0.4,0.9,.444,0.2,0.6,.333,0.2,0.3,.667,.556,0.1,0.2,.500,0.1,0.2,0.3,0.0,0.0,0.1,0.0,0.1,1.1
107,Kawhi Leonard,SF,32,LAC,2,2,29.5,5.5,12.0,.458,0.0,2.5,.000,5.5,9.5,.579,.458,1.0,1.5,.667,1.5,6.5,8.0,2.0,2.0,0.5,2.0,1.5,12.0
108,Caris LeVert,SG,29,CLE,11,1,25.3,4.0,9.3,.431,0.5,3.0,.182,3.5,6.3,.551,.461,1.5,2.4,.654,0.7,2.9,3.6,2.3,0.8,0.5,1.3,1.3,10.1
109,E.J. Liddell,PF,23,NOP,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Damian Lillard,PG,33,MIL,4,4,39.0,8.5,20.3,.420,5.0,12.0,.417,3.5,8.3,.424,.543,9.3,9.5,.974,0.5,2.8,3.3,5.0,1.0,0.0,2.3,2.0,31.3
111,Nassir Little,SF,23,PHO,4,0,3.5,0.8,1.3,.600,0.3,0.8,.333,0.5,0.5,1.000,.700,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.5,1.8
112,Dereck Lively II,C,19,DAL,21,0,22.0,3.0,4.5,.674,0.0,0.0,1.000,3.0,4.5,.670,.679,1.7,2.9,.590,2.7,4.7,7.4,1.3,0.4,1.0,1.0,2.3,7.9
113,Chris Livingston,SF,20,MIL,2,0,3.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,1.5,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,Brook Lopez,C,35,MIL,6,6,33.3,7.3,12.5,.587,1.7,3.8,.435,5.7,8.7,.654,.653,1.3,2.5,.533,1.8,2.5,4.3,1.8,0.0,1.3,1.5,1.7,17.7
115,Kevin Love,PF,35,MIA,5,0,6.4,0.8,1.8,.444,0.2,0.8,.250,0.6,1.0,.600,.500,0.0,0.0,,0.2,2.6,2.8,0.8,0.0,0.0,0.4,0.4,1.8
116,Kyle Lowry,PG,37,PHI,6,6,29.2,1.8,5.3,.344,1.3,4.0,.333,0.5,1.3,.375,.469,2.0,2.5,.800,1.0,2.5,3.5,4.0,1.0,0.7,0.7,3.8,7.0
117,Terance Mann,SG,27,LAC,6,6,31.2,3.2,7.7,.413,1.7,3.7,.455,1.5,4.0,.375,.522,1.3,1.3,1.000,2.8,2.2,5.0,1.8,0.0,0.0,0.8,3.2,9.3
118,Naji Marshall,SF,26,NOP,4,0,21.0,3.0,7.0,.429,1.5,3.8,.400,1.5,3.3,.462,.536,1.5,1.5,1.000,0.8,2.0,2.8,1.3,0.5,0.5,0.5,2.3,9.0
