Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
141,Jamal Murray,PG,26,DEN,12,12,38.5,8.3,20.8,.402,1.9,6.1,.315,6.4,14.7,.438,.448,2.0,2.2,.923,0.8,3.6,4.3,5.6,0.8,0.5,2.6,2.3,20.6
142,Svi Mykhailiuk,SF,26,BOS,8,0,4.0,0.4,1.5,.250,0.3,1.1,.222,0.1,0.4,.333,.333,0.0,0.0,,0.1,0.5,0.6,0.1,0.1,0.0,0.3,0.4,1.0
143,Larry Nance Jr.,C,31,NOP,4,0,21.0,2.5,4.3,.588,0.3,1.0,.250,2.3,3.3,.692,.618,1.0,1.5,.667,3.8,4.5,8.3,1.8,0.5,0.0,1.8,2.3,6.3
144,Andrew Nembhard,PG,24,IND,17,17,32.6,6.0,10.7,.560,1.7,3.5,.483,4.3,7.2,.598,.640,1.2,1.5,.769,0.8,2.5,3.3,5.5,0.4,0.2,1.4,3.3,14.9
145,Aaron Nesmith,SF,24,IND,17,17,32.9,3.6,8.3,.433,1.3,4.6,.278,2.3,3.6,.629,.511,2.0,2.2,.919,1.1,3.8,4.9,2.2,0.6,0.5,1.4,3.9,10.5
146,Georges Niang,PF,30,CLE,10,0,12.1,0.9,4.1,.220,0.3,2.3,.130,0.6,1.8,.333,.256,0.7,0.8,.875,0.3,0.9,1.2,0.4,0.4,0.2,0.7,1.8,2.8
147,Zeke Nnaji,PF,23,DEN,3,0,4.7,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.3,0.7,.500,0.7,0.0,0.7,0.0,0.0,0.3,0.7,0.3,1.7
148,Jusuf Nurkić,C,29,PHO,4,4,26.0,3.3,6.5,.500,0.0,0.5,.000,3.3,6.0,.542,.500,1.3,2.8,.455,3.3,5.0,8.3,2.8,1.5,1.5,1.5,3.8,7.8
149,Royce O'Neale,SF,30,PHO,4,2,26.0,1.8,5.5,.318,1.5,4.5,.333,0.3,1.0,.250,.455,0.0,0.0,,1.3,3.5,4.8,1.0,0.3,0.0,0.5,2.8,5.0
150,Chuma Okeke,SF,25,ORL,2,0,5.0,1.0,1.5,.667,0.5,1.0,.500,0.5,0.5,1.000,.833,0.5,0.5,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0
151,Josh Okogie,SG,25,PHO,4,0,7.3,1.3,2.3,.556,0.3,0.8,.333,1.0,1.5,.667,.611,0.8,1.5,.500,0.0,1.0,1.0,0.5,0.5,0.0,0.5,1.8,3.5
152,Isaac Okoro,SF,23,CLE,12,7,21.9,2.1,5.8,.357,0.8,2.9,.257,1.3,2.9,.457,.421,0.6,0.8,.778,0.4,1.3,1.8,1.1,0.9,0.3,0.9,2.5,5.5
153,Kelly Oubre Jr.,SF,28,PHI,6,6,37.3,5.2,10.7,.484,1.5,3.8,.391,3.7,6.8,.537,.555,1.3,1.8,.727,1.5,2.5,4.0,1.7,1.8,1.2,1.3,4.0,13.2
154,Cameron Payne,PG,29,PHI,5,0,12.2,2.0,5.0,.400,1.6,3.6,.444,0.4,1.4,.286,.560,0.0,0.0,,0.0,1.2,1.2,1.4,0.2,0.8,0.6,2.0,5.6
155,Jalen Pickett,SG,24,DEN,3,0,3.7,0.7,1.0,.667,0.0,0.3,.000,0.7,0.7,1.000,.667,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.3,0.0,0.3,1.3
156,Mason Plumlee,C,33,LAC,6,0,11.0,1.2,3.0,.389,0.0,0.0,,1.2,3.0,.389,.389,0.8,1.3,.625,1.2,2.2,3.3,0.7,0.5,0.3,0.3,2.2,3.2
157,Michael Porter Jr.,SF,25,DEN,12,12,36.9,5.7,12.2,.466,2.8,6.8,.407,2.9,5.4,.538,.579,1.7,2.2,.769,0.7,6.2,6.8,1.1,0.9,0.8,1.5,2.3,15.8
158,Bobby Portis,PF,28,MIL,6,6,31.2,7.3,15.2,.484,0.5,2.0,.250,6.8,13.2,.519,.500,1.3,2.2,.615,2.7,8.7,11.3,1.0,0.5,0.2,1.5,2.2,16.5
159,Kristaps Porziņģis,C,28,BOS,7,4,23.6,4.0,8.6,.467,1.4,4.1,.345,2.6,4.4,.581,.550,2.9,3.1,.909,0.6,3.9,4.4,1.1,0.7,1.6,0.7,2.1,12.3
160,Dwight Powell,C,32,DAL,13,0,3.4,0.1,0.2,.333,0.0,0.0,,0.1,0.2,.333,.333,0.3,0.5,.667,0.2,0.7,0.9,0.2,0.1,0.0,0.2,0.7,0.5
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
